,ID,keyword,weight
0,1,會員制,0.9962306252416666
1,1,年費,0.9962306252416666
2,1,非收不可,0.9962306252416666
3,1,還不給,0.9962306252416666
4,1,退訂,0.9962306252416666
0,2,拉機,2.988691875725
1,2,顆星,2.988691875725
2,2,嫌多,2.92586326865
3,2,平台,1.5610851213875
0,3,餐點,0.6291982896263157
1,3,遺漏,0.6291982896263157
2,3,人員,0.6291982896263157
3,3,表現,0.6291982896263157
4,3,不會,0.6291982896263157
0,4,訂閱,1.1385492859904762
1,4,扣款,1.0955030837333333
2,4,還是,0.5692746429952381
3,4,收外,0.5692746429952381
4,4,送費,0.5692746429952381
0,5,東西,0.5197725001260869
1,5,他們,0.34651500008405794
2,5,還有,0.34651500008405794
3,5,那個,0.34651500008405794
4,5,問題,0.34651500008405794
0,6,訂閱,2.39095350058
1,6,pro,0.597738375145
2,6,問題,0.597738375145
3,6,兩次,0.597738375145
4,6,失敗,0.597738375145
0,7,越來越,0.74717296893125
1,7,做餐,0.74717296893125
2,7,15,0.74717296893125
3,7,分鐘,0.74717296893125
4,7,送餐,0.74717296893125
0,8,處理,0.9195975002230768
1,8,沒有,0.9195975002230768
2,8,紀錄,0.9195975002230768
3,8,重複,0.4597987501115384
4,8,寫信,0.4597987501115384
0,9,經常,1.7078239289857142
1,9,訂單,1.7078239289857142
2,9,沒有,1.7078239289857142
3,9,外送員,1.7078239289857142
4,9,取消,0.9341860318571429
0,10,再訂,2.1735940914363634
1,10,熊貓,2.1735940914363634
2,10,越來越,1.0867970457181817
3,10,Uber,1.0867970457181817
4,10,Eats,1.0867970457181817
0,11,幾天,0.5433985228590908
1,11,熊貓,0.5433985228590908
2,11,反應,0.5433985228590908
3,11,訂單,0.5433985228590908
4,11,問題,0.5433985228590908
0,12,東西,3.9849225009666664
1,12,價位,3.9849225009666664
2,12,拉太高,3.9849225009666664
0,13,刪除,1.7078239289857142
1,13,價位,1.7078239289857142
2,13,拉太高,1.7078239289857142
3,13,麥當勞,1.7078239289857142
4,13,歡樂,1.7078239289857142
